charge_group,Biden,Trump,raw_change,pct_change,pct_change_label
Aggravated Assault and Homicide,1.4642857142857142,1.8666666666666667,0.4023809523809525,0.27479674796747977,27.5%
Sex Offenses,3.4642857142857144,4.333333333333333,0.8690476190476186,0.2508591065292095,25.1%
Weapons Offenses,0.6428571428571429,1.0666666666666667,0.42380952380952375,0.6592592592592591,65.9%
Drugs - Non-Marijuana,4.071428571428571,8.133333333333333,4.061904761904762,0.9976608187134502,99.8%
DUI,1.8928571428571428,7.466666666666667,5.573809523809524,2.944654088050315,294.5%
Traffic Offenses,1.6428571428571428,6.333333333333333,4.69047619047619,2.8550724637681157,285.5%
Marijuana,0.42857142857142855,1.2,0.7714285714285714,1.7999999999999998,180.0%

